BUDGET,POPULARITY,REVENUE,VOTE_AVERAGE,VOTE_COUNT,release_year,release_month
90000000,49.582,886686817,6.7,5847,2009,6
80000,43.082,21000000,4.0,3,2020,3
95000000,38.873,73515024,4.4,507,2019,12
85000000,42.437,358375603,6.9,6222,2012,9
9000000,47.872,44196684,6.6,1701,1988,8
45000000,51.335,72281712,7.1,2197,2019,10
250000000,52.797,392952373,6.6,5680,2018,5
4200000,38.574,5835247,6.8,509,1990,10
80000000,49.265,1031552585,6.4,5141,2017,6
250000000,44.856,958400000,7.6,9341,2013,11
30000000,35.333,210819611,7.4,6657,2009,5
25000000,39.633,226830568,7.3,8107,2008,2
18300000,38.989,125983972,7.9,289,2017,12
150000000,51.325,374218673,7.7,15041,2005,10
26000000,46.984,18377736,6.8,656,2019,10
85000000,48.374,346147658,5.7,3136,2017,1
1800000,40.681,25504513,7.3,3215,1984,11
103000000,36.367,362000072,6.2,6321,2013,5
9000000,49.624,278454358,7.3,12946,2017,9
4000000,35.784,14237880,7.3,728,1985,4
130000000,34.156,185258983,7.3,6311,2009,5
95000000,40.96,543514353,6.8,5506,2015,12
3700000,39.49,45000000,8.1,4898,1988,4
16000000,38.663,20545116,6.7,230,2018,6
215000000,62.282,757930663,6.6,12207,2012,6
80000000,37.108,254455986,6.4,7626,2011,5
16000000,46.894,31556061,5.6,2294,2009,9
180000000,38.354,745013115,7.1,7295,2005,7
207000000,42.101,562363449,6.8,5492,2005,12
14000000,40.517,233555708,8.0,12654,2014,11
150000000,37.934,331957105,5.9,3546,2016,12
30000000,41.575,114908830,5.9,1521,2003,8
175000000,42.983,966550600,6.8,6304,2016,7
1250000,40.318,21722776,6.1,923,1981,1
30000000,40.309,48428063,6.8,2441,2009,8
37000000,41.565,173567581,7.4,5030,2015,11
7000000,43.357,5021219,5.3,1233,2009,6
150000000,45.024,623722818,7.7,11583,2007,6
260000000,39.319,592461732,7.6,8035,2010,11
40000000,48.581,126069509,5.4,3229,2014,7
160000000,46.052,653428261,6.9,9139,2015,11
178000000,37.794,370541256,7.6,9886,2014,5
80000000,43.232,271430189,6.3,4064,2010,6
150000000,42.931,163712074,6.2,7948,2008,12
102000000,43.827,520000000,8.0,8560,1991,3
9000000,39.507,122033739,5.7,1388,2019,4
4000000,38.525,25343661,6.0,876,2014,4
4000000,42.701,17964238,7.6,2019,2019,10
4000000,44.102,5132274,6.3,322,2018,4
70000000,26.276,123081555,6.5,629,2017,9
22000000,37.316,43058898,6.9,2242,2013,12
76000000,37.506,970761885,6.9,8642,2013,6
200000000,42.057,559852396,6.0,5187,2011,11
